date,county,state,fips,cases,deaths,POPULATION,BEDS,COUNTYFIPS
2020-04-10,Autauga,Alabama,1001.0,17,1,85,85,1001.0
2020-04-10,Barbour,Alabama,1005.0,9,0,146,146,1005.0
2020-04-10,Blount,Alabama,1009.0,12,0,511,511,1009.0
2020-04-10,Bullock,Alabama,1011.0,4,0,61,61,1011.0
2020-04-10,Calhoun,Alabama,1015.0,54,0,1074,1074,1015.0
2020-04-10,Chilton,Alabama,1021.0,27,0,26,26,1021.0
2020-04-10,Coffee,Alabama,1031.0,14,0,439,439,1031.0
2020-04-10,Colbert,Alabama,1033.0,8,1,363,363,1033.0
2020-04-10,Conecuh,Alabama,1035.0,3,0,58,58,1035.0
2020-04-10,Covington,Alabama,1039.0,10,0,245,245,1039.0
2020-04-10,Crenshaw,Alabama,1041.0,2,0,93,93,1041.0
2020-04-10,Cullman,Alabama,1043.0,30,1,185,185,1043.0
2020-04-10,Dale,Alabama,1045.0,6,0,89,89,1045.0
2020-04-10,Elmore,Alabama,1051.0,30,0,163,163,1051.0
2020-04-10,Etowah,Alabama,1055.0,64,5,739,739,1055.0
2020-04-10,Houston,Alabama,1069.0,33,1,1108,1108,1069.0
2020-04-10,Lawrence,Alabama,1079.0,8,0,925,925,1079.0
2020-04-10,Limestone,Alabama,1083.0,36,0,181,181,1083.0
2020-04-10,Macon,Alabama,1087.0,9,1,370,370,1087.0
2020-04-10,Madison,Alabama,1089.0,177,3,4411,4481,1089.0
2020-04-10,Marengo,Alabama,1091.0,15,1,99,99,1091.0
2020-04-10,Mobile,Alabama,1097.0,382,11,1929,1929,1097.0
2020-04-10,Montgomery,Alabama,1101.0,92,4,0,0,1101.0
2020-04-10,Montgomery,Alabama,1101.0,92,4,12324,12312,1101.0
2020-04-10,Pickens,Alabama,1107.0,19,0,268,268,1107.0
2020-04-10,Randolph,Alabama,1111.0,22,3,634,634,1111.0
2020-04-10,Shelby,Alabama,1117.0,185,5,6127,6127,1117.0
2020-04-10,Sumter,Alabama,1119.0,18,0,874,874,1119.0
2020-04-10,Talladega,Alabama,1121.0,32,0,285,285,1121.0
2020-04-10,Tallapoosa,Alabama,1123.0,53,2,127,127,1123.0
2020-04-10,Tuscaloosa,Alabama,1125.0,91,0,901,933,1125.0
2020-04-10,Walker,Alabama,1127.0,72,0,390,390,1127.0
2020-04-10,Wilcox,Alabama,1131.0,18,0,30,30,1131.0
2020-04-10,Anchorage,Alaska,2020.0,112,4,988,988,2020.0
2020-04-10,Bethel Census Area,Alaska,2050.0,1,0,37,37,2050.0
2020-04-10,Fairbanks North Star Borough,Alaska,2090.0,76,1,217,217,2090.0
2020-04-10,Juneau City and Borough,Alaska,2110.0,15,0,40,40,2110.0
2020-04-10,Kenai Peninsula Borough,Alaska,2122.0,14,0,204,204,2122.0
2020-04-10,Ketchikan Gateway Borough,Alaska,2130.0,14,0,54,54,2130.0
2020-04-10,Matanuska-Susitna Borough,Alaska,2170.0,9,0,74,74,2170.0
2020-04-10,Apache,Arizona,4001.0,55,3,45,45,4001.0
2020-04-10,Cochise,Arizona,4003.0,11,0,267,267,4003.0
2020-04-10,Coconino,Arizona,4005.0,214,15,308,308,4005.0
