date,state,fips,cases,deaths,days,Total,Pop,casespm,casespt
2020-01-21,Washington,53,1,0,1,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-22,Washington,53,1,0,2,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-23,Washington,53,1,0,3,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-24,Washington,53,1,0,4,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-25,Washington,53,1,0,5,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-26,Washington,53,1,0,6,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-27,Washington,53,1,0,7,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-28,Washington,53,1,0,8,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-29,Washington,53,1,0,9,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-30,Washington,53,1,0,10,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-01-31,Washington,53,1,0,11,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-01,Washington,53,1,0,12,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-02,Washington,53,1,0,13,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-03,Washington,53,1,0,14,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-04,Washington,53,1,0,15,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-05,Washington,53,1,0,16,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-06,Washington,53,1,0,17,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-07,Washington,53,1,0,18,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-08,Washington,53,1,0,19,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-09,Washington,53,1,0,20,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-10,Washington,53,1,0,21,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-11,Washington,53,1,0,22,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-12,Washington,53,1,0,23,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-13,Washington,53,1,0,24,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-14,Washington,53,1,0,25,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-15,Washington,53,1,0,26,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-16,Washington,53,1,0,27,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-17,Washington,53,1,0,28,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-18,Washington,53,1,0,29,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-19,Washington,53,1,0,30,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-20,Washington,53,1,0,31,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-21,Washington,53,1,0,32,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-22,Washington,53,1,0,33,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-23,Washington,53,1,0,34,1.7,7797095,0.12825289418687347,0.00012825289418687345
2020-02-24,Washington,53,5,0,35,1.7,7797095,0.6412644709343672,0.0006412644709343672
2020-02-25,Washington,53,5,0,36,1.7,7797095,0.6412644709343672,0.0006412644709343672
2020-02-26,Washington,53,5,0,37,1.7,7797095,0.6412644709343672,0.0006412644709343672
2020-02-27,Washington,53,5,0,38,1.7,7797095,0.6412644709343672,0.0006412644709343672
2020-02-28,Washington,53,7,0,39,1.7,7797095,0.897770259308114,0.000897770259308114
2020-02-29,Washington,53,10,1,40,1.7,7797095,1.2825289418687345,0.0012825289418687345
2020-03-01,Washington,53,17,3,41,1.7,7797095,2.1802992011768487,0.0021802992011768487
2020-03-02,Washington,53,23,6,42,1.7,7797095,2.9498165662980895,0.0029498165662980892
2020-03-03,Washington,53,32,10,43,1.7,7797095,4.104092613979951,0.00410409261397995
2020-03-04,Washington,53,47,11,44,1.7,7797095,6.027886026783052,0.006027886026783052
2020-03-05,Washington,53,75,11,45,1.7,7797095,9.618967064015507,0.009618967064015507
2020-03-06,Washington,53,86,12,46,1.7,7797095,11.029748900071116,0.011029748900071117
2020-03-07,Washington,53,110,16,47,1.7,7797095,14.10781836055608,0.01410781836055608
2020-03-08,Washington,53,141,19,48,1.7,7797095,18.083658080349156,0.018083658080349157
2020-03-09,Washington,53,179,22,49,1.7,7797095,22.957268059450346,0.022957268059450347
2020-03-10,Washington,53,279,24,50,1.7,7797095,35.78255747813769,0.035782557478137696
2020-03-11,Washington,53,338,29,51,1.7,7797095,43.349478235163225,0.043349478235163226
2020-03-12,Washington,53,419,32,52,1.7,7797095,53.73796266429997,0.05373796266429997
2020-03-13,Washington,53,511,37,53,1.7,7797095,65.53722892949233,0.06553722892949232
2020-03-14,Washington,53,609,40,54,1.7,7797095,78.10601255980592,0.07810601255980593
2020-03-15,Washington,53,675,42,55,1.7,7797095,86.57070357613958,0.08657070357613958
2020-03-16,Washington,53,794,48,56,1.7,7797095,101.83279798437752,0.10183279798437753
2020-03-17,Washington,53,908,54,57,1.7,7797095,116.45362792168109,0.11645362792168108
2020-03-18,Washington,53,1026,68,58,1.7,7797095,131.58746943573217,0.13158746943573216
2020-03-19,Washington,53,1228,75,59,1.7,7797095,157.49455406148059,0.15749455406148058
2020-03-20,Washington,53,1404,83,60,1.7,7797095,180.06706343837033,0.1800670634383703
2020-03-21,Washington,53,1655,95,61,1.7,7797095,212.25853987927556,0.21225853987927557
2020-03-22,Washington,53,1844,97,62,1.7,7797095,236.49833688059462,0.23649833688059463
2020-03-23,Washington,53,2101,110,63,1.7,7797095,269.4593306866211,0.2694593306866211
2020-03-24,Washington,53,2469,123,64,1.7,7797095,316.65639574739055,0.3166563957473905
2020-03-25,Washington,53,2585,130,65,1.7,7797095,331.53373147306786,0.33153373147306786
2020-03-26,Washington,53,3208,151,66,1.7,7797095,411.43528455149,0.41143528455149
2020-03-27,Washington,53,3770,177,67,1.7,7797095,483.5134110845129,0.48351341108451285
2020-03-28,Washington,53,4311,191,68,1.7,7797095,552.8982268396114,0.5528982268396114
2020-03-29,Washington,53,4896,207,69,1.7,7797095,627.9261699389324,0.6279261699389324
2020-03-30,Washington,53,5179,221,70,1.7,7797095,664.2217389938176,0.6642217389938175
2020-03-31,Washington,53,5292,226,71,1.7,7797095,678.7143160369342,0.6787143160369342
2020-04-01,Washington,53,5588,249,72,1.7,7797095,716.6771727162488,0.7166771727162489
2020-04-02,Washington,53,6585,272,73,1.7,7797095,844.5453082205617,0.8445453082205616
2020-04-03,Washington,53,6966,293,74,1.7,7797095,893.4096609057605,0.8934096609057605
2020-04-04,Washington,53,7498,318,75,1.7,7797095,961.6402006131771,0.961640200613177
2020-04-05,Washington,53,7984,344,76,1.7,7797095,1023.9711071879976,1.0239711071879978
2020-04-06,Washington,53,8384,383,77,1.7,7797095,1075.2722648627469,1.0752722648627469
2020-04-07,Washington,53,8682,409,78,1.7,7797095,1113.4916273304352,1.1134916273304354
2020-04-08,Washington,53,9097,430,79,1.7,7797095,1166.7165784179876,1.1667165784179876
2020-04-09,Washington,53,9608,456,80,1.7,7797095,1232.25380734748,1.23225380734748
